Gene Names,Cluster label
A1CF,10
A4GNT,15
AAK1,13
AAMP,19
AARS2,16
AATF,12
ABCA6,20
ABCA7,9
ABCB10,13
ABCB4,20
ABCB7,7
ABCC13,13
ABCC9,3
ABCD4,8
ABCG4,6
ABHD4,8
ABHD9,16
ABL2,1
ABLIM1,1
ABR,4
ACAD11,7
ACADS,8
ACAT1,14
ACBD3,14
ACCN1,2
ACCN3,4
ACCSL,11
ACD,8
ACHE,4
ACLY,17
ACOT1,14
ACOT11,4
ACOT4,1
ACOT7,3
ACOT9,7
ACPT,17
ACRBP,12
ACRV1,16
ACSL4,13
ACSL5,20
ACSL6,11
ACSM3,5
ACSM5,16
ACTA2,13
ACTC1,10
ACTG2,11
ACTL6B,1
ACVR1B,1
ACY1,6
ADA,8
ADAM12,19
ADAM19,4
ADAM21,2
ADAM23,5
ADAM28,16
ADAM32,11
ADAM33,2
ADAM6,2
ADAMTS3,1
ADAMTS7,20
ADC,4
ADD2,5
ADH6,4
ADHFE1,7
ADNP,17
ADPRHL2,16
ADRA1B,4
ADRA1D,16
ADRA2A,8
ADRA2C,13
ADSS,14
AEBP2,20
AFM,3
AGAP7,19
AGL,14
AGPAT4,12
AGPS,14
AGRP,3
AGTRAP,8
AIPL1,11
AJAP1,11
AK5,1
AKAP11,1
AKAP13,17
AKAP3,6
AKAP4,3
AKAP7,14
AKIRIN1,13
AKR1B15,10
AKR1C3,13
AKT3,2
ALAS1,15
ALAS2,13
ALCAM,14
ALDH16A1,19
ALDH1A2,4
ALDH1B1,19
ALDOA,2
ALG1L,4
ALKBH1,16
ALKBH2,16
ALKBH6,16
ALLC,5
ALOX15B,4
ALOXE3,4
ALPI,8
ALPPL2,16
ALS2,7
ALS2CL,2
AMAC1,20
AMELY,15
AMH,3
AMPD1,10
AMPD3,15
AMY2A,10
ANAPC11,8
ANGPT1,8
ANGPTL2,5
ANKHD1,18
ANKMY2,17
ANKRD10,7
ANKRD12,13
ANKRD13B,15
ANKRD17,20
ANKRD28,19
ANKRD33,17
ANKS1A,6
ANKS1B,2
ANKZF1,8
ANO7,4
ANO9,6
ANTXR1,2
ANXA1,13
ANXA11,17
ANXA13,19
ANXA7,1
ANXA8L2,19
AOX1,10
AP1S2,13
AP3D1,6
AP3M1,12
AP3S1,14
AP3S2,6
AP4E1,14
AP4S1,10
APAF1,13
APBA2,16
APBB1,1
APBB2,3
APCS,4
API5,7
APLF,9
APLP1,15
APOBEC3F,15
APOL5,18
APOL6,4
AQP1,15
AQP12A,15
AQP7,16
AQP7P2,19
ARAF,12
ARFGEF2,5
ARGLU1,13
ARHGAP21,7
ARHGAP25,5
ARHGAP28,4
ARHGAP29,5
ARHGAP30,12
ARHGEF4,4
ARID1A,18
ARID1B,16
ARID4A,7
ARID4B,14
ARID5A,4
ARL4A,17
ARL5A,13
ARL6IP4,4
ARMC10,14
ARMC8,16
ARRDC2,17
ARRDC5,8
ARS2,4
ARSA,12
ARSB,11
ARSE,3
ARSG,8
ART1,6
ART4,6
ARTN,3
ARVP6125,3
ARX,1
ASAH2,11
ASB12,11
ASB16,12
ASGR2,7
ASL,9
ASNSD1,13
ASRGL1,14
ASS1,11
ASTN1,15
ATCAY,5
ATE1,20
ATF7,6
ATG16L1,6
ATG2B,16
ATG9A,8
ATG9B,11
ATL2,14
ATOX1,12
ATP11A,3
ATP1A3,12
ATP1B2,15
ATP1B3,17
ATP2A2,7
ATP2A3,12
ATP2B1,4
ATP2B4,17
ATP5C1,13
ATP5G2,17
ATP5H,7
ATP5I,13
ATP5J,14
ATP5O,13
ATP6V0A2,7
ATP6V1A,13
ATP6V1F,6
ATP6V1G1,13
ATP6V1G2,19
ATP8A1,4
ATP8B4,14
ATP9A,3
ATRN,19
ATRX,7
ATXN3,5
AUTS2,17
AXIN1,16
AXL,20
AZI2,7
AZIN1,13
B3GAT1,8
B3GNT2,14
B3GNT5,20
B4GALT5,17
B4GALT6,5
BACE2,6
BAG5,19
BAGE,15
BAIAP2,19
BAIAP3,4
BARX2,4
BAT1,7
BATF2,8
BAX,15
BAZ1A,7
BBS10,14
BBS7,9
BCAP29,14
BCAS2,20
BCAT2,16
BCL11B,13
BCL2L12,11
BCL2L2,4
BCLAF1,14
BCOR,6
BCR,8
BDKRB1,17
BDNF,19
BEGAIN,4
BEND4,10
BEND6,2
BET1,14
BGN,15
BHLHB2,17
BIN1,17
BIRC5,1
BIRC6,19
BIRC7,10
BIRC8,18
BLOC1S2,11
BMX,6
BOLA3,7
BOLL,3
BPTF,8
BRAF,5
BRD7,7
BRF1,20
BRI3BP,7
BRP44L,13
BRUNOL4,11
BRUNOL5,1
BSN,3
BTAF1,13
BTBD1,14
BTBD3,4
BTBD7,19
BTN3A1,19
BTNL3,15
BTNL9,5
BTRC,11
BVES,11
C10orf104,7
C10orf116,1
C10orf137,7
C10orf141,18
C10orf28,6
C10orf59,1
C10orf61,14
C10orf79,20
C10orf85,16
C10orf92,2
C10orf95,9
C10orf96,3
C11orf30,6
C11orf40,1
C11orf53,16
C11orf57,19
C11orf65,15
C11orf68,8
C11orf73,4
C11orf74,20
C11orf87,10
C11orf88,2
C12orf23,14
C12orf28,18
C12orf29,7
C12orf36,16
C12orf40,11
C12orf47,13
C12orf49,19
C12orf60,9
C12orf64,11
C12orf67,16
C13orf1,1
C13orf23,7
C13orf26,15
C13orf34,14
C14orf100,7
C14orf104,19
C14orf106,13
C14orf11,19
C14orf121,6
C14orf133,6
C14orf138,14
C14orf142,17
C14orf156,13
C14orf68,19
C15orf29,17
